[2026/07/19 01:01:00:000   00   17844   04865             ] WebServiceHelper::Helper: Resource cached locally   {WebServiceHelper.exe::Helper.dll(1.2.3)} | ip=192.168.2.115 endp
[2026/07/19 04:02:57:442   00   17844   01319             ] WebServiceHelper::Helper: Processing request from client   {WebServiceHelper.exe::Helper.dll(1.2.3)} | endpoint=/api/v1/back
[2026/07/19 04:02:59:773   00   17844   15612             ] WebServiceHelper::Helper: Resource cached locally   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=8a5ce8b94470 i
[2026/07/19 04:02:59:818   00   17844   04043             ] WebServiceHelper::Helper: Connection request to backend succeeded   {WebServiceHelper.exe::Helper.dll(1.2.3)} | ip=172.16.254.1 endpo
[2026/07/19 04:03:10:078   00   17844   11253             ] WebServiceHelper::Helper: Connection request to backend succeeded   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=1d002139843d i
[2026/07/19 04:15:10:078   00   17844   16821             ] WebServiceHelper::Helper: Resource cached locally   {WebServiceHelper.exe::Helper.dll(1.2.3)} | endpoint=/metrics cal
[2026/07/19 04:15:12:889   00   17844   11809             ] WebServiceHelper::Helper: Connection request to backend succeeded   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=dc3a4515694b e
[2026/07/19 04:17:28:889   00   17844   18652             ] WebServiceHelper::Helper: Processing request from client   {WebServiceHelper.exe::Helper.dll(1.2.3)} | ip=10.0.0.12 endpoint
[2026/07/19 04:17:29:191   00   17844   02578             ] WebServiceHelper::Helper: Resource cached locally   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=77321fa1f98a c
[2026/07/19 04:17:29:405   00   17844   13194             ] WebServiceHelper::Helper: Connection request to backend succeeded   {WebServiceHelper.exe::Helper.dll(1.2.3)} | ip=10.0.0.12 endpoint
[2026/07/19 04:17:30:865   00   17844   07154             ] WebServiceHelper::Helper: Connection request to backend succeeded   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=65d9eef98a25 i
[2026/07/19 04:17:43:279   00   17844   10725             ] WebServiceHelper::Helper: Processing request from client   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=f0958f9261f5 i
[2026/07/19 04:17:48:038   00   17844   19836             ] WebServiceHelper::Helper: Connection request to backend succeeded   {WebServiceHelper.exe::Helper.dll(1.2.3)} | ip=10.0.0.12 cpu_util
[2026/07/19 04:17:48:426   00   17844   14425             ] WebServiceHelper::Helper: Processing request from client   {WebServiceHelper.exe::Helper.dll(1.2.3)} | endpoint=/api/v1/syst
[2026/07/19 04:17:48:911   00   17844   10698             ] WebServiceHelper::Helper: Resource cached locally   {WebServiceHelper.exe::Helper.dll(1.2.3)} | endpoint=/api/v1/back
[2026/07/19 04:17:54:291   00   17844   10176             ] WebServiceHelper::Helper: Connection request to backend succeeded   {WebServiceHelper.exe::Helper.dll(1.2.3)} | ip=192.168.1.50 endpo
[2026/07/19 04:18:05:592   00   17844   12775             ] WebServiceHelper::Helper: Processing request from client   {WebServiceHelper.exe::Helper.dll(1.2.3)} | endpoint=/metrics cal
[2026/07/19 04:18:08:105   00   17844   01900             ] WebServiceHelper::Helper: Connection request to backend succeeded   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=e6540bdcce21 i
[2026/07/19 04:18:14:063   00   17844   02026             ] WebServiceHelper::Helper: Connection request to backend succeeded   {WebServiceHelper.exe::Helper.dll(1.2.3)} | endpoint=/api/v2/rest
[2026/07/19 04:18:14:494   00   17844   10503             ] WebServiceHelper::Helper: Resource cached locally   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=783da0336926 i
[2026/07/19 04:20:48:494   00   17844   09000             ] WebServiceHelper::Helper: Connection request to backend succeeded   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=81366516c6bb i
[2026/07/19 04:20:52:286   00   17844   06529             ] WebServiceHelper::Helper: Connection request to backend succeeded   {WebServiceHelper.exe::Helper.dll(1.2.3)} | caller=ConfigManager 
[2026/07/19 04:20:52:700   00   17844   12702             ] WebServiceHelper::Helper: Connection request to backend succeeded   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=a02ab0d5a60c i
[2026/07/19 04:20:52:944   00   17844   02405             ] WebServiceHelper::Helper: Processing request from client   {WebServiceHelper.exe::Helper.dll(1.2.3)} | endpoint=/api/v1/syst
[2026/07/19 04:20:53:218   00   17844   17383             ] WebServiceHelper::Helper: Connection request to backend succeeded   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=551dc895d972 e
[2026/07/19 04:27:53:218   00   17844   18604             ] WebServiceHelper::Helper: Processing request from client   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=c9e0a79e7b99 m
[2026/07/19 04:27:56:388   00   17844   16615             ] WebServiceHelper::Helper: Processing request from client   {WebServiceHelper.exe::Helper.dll(1.2.3)} | ip=10.0.0.12 caller=T
[2026/07/19 04:27:59:732   00   17844   17337             ] WebServiceHelper::Helper: Connection request to backend succeeded   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=ab144360bf52 c
[2026/07/19 04:28:04:190   00   17844   06099             ] WebServiceHelper::Helper: Processing request from client   {WebServiceHelper.exe::Helper.dll(1.2.3)} | endpoint=/api/v2/rest
[2026/07/19 04:28:04:212   00   17844   09584             ] WebServiceHelper::Helper: Connection request to backend succeeded   {WebServiceHelper.exe::Helper.dll(1.2.3)} | ip=192.168.2.115     
[2026/07/19 04:29:41:212   00   17844   11969             ] WebServiceHelper::Helper: Connection request to backend succeeded   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=edf6cae946b5 i
[2026/07/19 04:33:17:212   00   17844   06892             ] WebServiceHelper::Helper: Resource cached locally   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=cdfef5481a91 i
[2026/07/19 04:33:17:565   00   17844   10575             ] WebServiceHelper::Helper: Resource cached locally   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=87dea9bc2007 c
[2026/07/19 04:33:17:801   00   17844   07341             ] WebServiceHelper::Helper: Connection request to backend succeeded   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=d6c266b9a5bc c
[2026/07/19 04:33:18:121   00   17844   01421             ] WebServiceHelper::Helper: Resource cached locally   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=6906293f5e7c i
[2026/07/19 04:33:18:405   00   17844   02445             ] WebServiceHelper::Helper: Processing request from client   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=35e9eea876d7 i
[2026/07/19 04:33:23:710   00   17844   14851             ] WebServiceHelper::Helper: Connection request to backend succeeded   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=953f6da307da i
[2026/07/19 04:33:27:272   00   17844   09366             ] WebServiceHelper::Helper: Connection request to backend succeeded   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=3ff8d41f22e5 m
[2026/07/19 04:33:30:955   00   17844   16677             ] WebServiceHelper::Helper: Resource cached locally   {WebServiceHelper.exe::Helper.dll(1.2.3)} | endpoint=/api/v1/syst
[2026/07/19 04:33:35:103   00   17844   14709             ] WebServiceHelper::Helper: Connection request to backend succeeded   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=32a48f89e0cf i
[2026/07/19 04:33:35:360   00   17844   10714             ] WebServiceHelper::Helper: Resource cached locally   {WebServiceHelper.exe::Helper.dll(1.2.3)} | trace_id=53c1fb3d1599
[2026/07/19 04:33:51:038   00   17844   03106             ] WebServiceHelper::Helper: Processing request from client   {WebServiceHelper.exe::Helper.dll(1.2.3)} | endpoint=/api/v2/rest
[2026/07/19 04:33:54:762   00   17844   02070             ] WebServiceHelper::Helper: Processing request from client   {WebServiceHelper.exe::Helper.dll(1.2.3)} | caller=TomcatAccessFi
[2026/07/19 04:33:54:914   00   17844   02883             ] WebServiceHelper::Helper: Resource cached locally   {WebServiceHelper.exe::Helper.dll(1.2.3)} | endpoint=/api/v1/back
[2026/07/19 04:33:54:991   00   17844   05415             ] WebServiceHelper::Helper: Resource cached locally   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=127144ac7837 i
[2026/07/19 04:34:06:079   00   17844   06394             ] WebServiceHelper::Helper: Connection request to backend succeeded   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=dd751dfa72b9 i
[2026/07/19 04:34:11:282   00   17844   09872             ] WebServiceHelper::Helper: Processing request from client   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=2f312ca1c044 e
[2026/07/19 04:37:34:282   00   17844   07125             ] WebServiceHelper::Helper: Connection request to backend succeeded   {WebServiceHelper.exe::Helper.dll(1.2.3)} | caller=TomcatAccessFi
[2026/07/19 04:37:34:774   00   17844   02234             ] WebServiceHelper::Helper: Resource cached locally   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=fdcef970fe41 i
[2026/07/19 04:37:34:883   00   17844   15834             ] WebServiceHelper::Helper: Processing request from client   {WebServiceHelper.exe::Helper.dll(1.2.3)} | ip=192.168.1.50 endpo
[2026/07/19 04:37:49:165   00   17844   18143             ] WebServiceHelper::Helper: Connection request to backend succeeded   {WebServiceHelper.exe::Helper.dll(1.2.3)} | caller=DbConnector cp
[2026/07/19 04:37:49:655   00   17844   11263             ] WebServiceHelper::Helper: Connection request to backend succeeded   {WebServiceHelper.exe::Helper.dll(1.2.3)} | ip=10.0.0.12 endpoint
[2026/07/19 04:37:49:687   00   17844   10762             ] WebServiceHelper::Helper: Resource cached locally   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=e921558e059d c
[2026/07/19 04:37:55:144   00   17844   06265             ] WebServiceHelper::Helper: Connection request to backend succeeded   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=ebcd6a890cd7 c
[2026/07/19 04:41:14:144   00   17844   18485             ] WebServiceHelper::Helper: Connection request to backend succeeded   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=ae691247b4de i
[2026/07/19 04:41:19:678   00   17844   03165             ] WebServiceHelper::Helper: Processing request from client   {WebServiceHelper.exe::Helper.dll(1.2.3)} | endpoint=/api/v2/rest
[2026/07/19 04:41:20:167   00   17844   09884             ] WebServiceHelper::Helper: Resource cached locally   {WebServiceHelper.exe::Helper.dll(1.2.3)} | cpu_util=66% extra='k'
[2026/07/19 04:41:20:667   00   17844   13813             ] WebServiceHelper::Helper: Connection request to backend succeeded   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=8344c85f8ada i
[2026/07/19 04:41:24:243   00   17844   10897             ] WebServiceHelper::Helper: Resource cached locally   {WebServiceHelper.exe::Helper.dll(1.2.3)} | ip=192.168.2.115 endp
[2026/07/19 04:41:24:261   00   17844   15213             ] WebServiceHelper::Helper: Processing request from client   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=c747bbb14e81 e
[2026/07/19 04:41:38:080   00   17844   07022             ] WebServiceHelper::Helper: Processing request from client   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=40527fc2098a i
[2026/07/19 04:41:38:333   00   17844   13566             ] WebServiceHelper::Helper: Processing request from client   {WebServiceHelper.exe::Helper.dll(1.2.3)} | ip=192.168.1.50 cpu_u
[2026/07/19 04:41:44:026   00   17844   18342             ] WebServiceHelper::Helper: Connection request to backend succeeded   {WebServiceHelper.exe::Helper.dll(1.2.3)} | ip=10.0.0.12 endpoint
[2026/07/19 04:41:59:459   00   17844   09783             ] WebServiceHelper::Helper: Resource cached locally   {WebServiceHelper.exe::Helper.dll(1.2.3)} | caller=WebServiceHelp
[2026/07/19 04:42:01:599   00   17844   07410             ] WebServiceHelper::Helper: Resource cached locally   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=131c2007d812 e
[2026/07/19 04:42:05:520   00   17844   12159             ] WebServiceHelper::Helper: Resource cached locally   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=8312633e33c9 i
[2026/07/19 04:42:05:710   00   17844   10842             ] WebServiceHelper::Helper: Resource cached locally   {WebServiceHelper.exe::Helper.dll(1.2.3)} | endpoint=/api/v1/back
[2026/07/19 04:42:08:187   00   17844   17294             ] WebServiceHelper::Helper: Connection request to backend succeeded   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=0dff415a6d79 i
[2026/07/19 04:42:21:428   00   17844   19995             ] WebServiceHelper::Helper: Processing request from client   {WebServiceHelper.exe::Helper.dll(1.2.3)} | ip=10.0.0.12 cpu_util
[2026/07/19 04:44:36:428   00   17844   17185             ] WebServiceHelper::Helper: Processing request from client   {WebServiceHelper.exe::Helper.dll(1.2.3)} | endpoint=/api/v1/back
[2026/07/19 04:44:41:092   00   17844   15997             ] WebServiceHelper::Helper: Connection request to backend succeeded   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=3a5488805035 c
[2026/07/19 04:44:45:231   00   17844   05745             ] WebServiceHelper::Helper: Processing request from client   {WebServiceHelper.exe::Helper.dll(1.2.3)} | caller=DbConnector cp
[2026/07/19 04:52:45:231   00   17844   14347             ] WebServiceHelper::Helper: Connection request to backend succeeded   {WebServiceHelper.exe::Helper.dll(1.2.3)} | ip=192.168.2.115     
[2026/07/19 04:52:45:454   00   17844   17067             ] WebServiceHelper::Helper: Connection request to backend succeeded   {WebServiceHelper.exe::Helper.dll(1.2.3)} | ip=10.0.0.12 cpu_util
[2026/07/19 04:52:48:884   00   17844   15386             ] WebServiceHelper::Helper: Processing request from client   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=910a35499a1e i
[2026/07/19 04:52:48:891   00   17844   10933             ] WebServiceHelper::Helper: Resource cached locally   {WebServiceHelper.exe::Helper.dll(1.2.3)} | caller=BackupAgent me
[2026/07/19 04:52:52:578   00   17844   01813             ] WebServiceHelper::Helper: Connection request to backend succeeded   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=2b34d4074a1a i
[2026/07/19 04:53:06:979   00   17844   08762             ] WebServiceHelper::Helper: Connection request to backend succeeded   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=760754fd86fa c
[2026/07/19 04:53:10:191   00   17844   18422             ] WebServiceHelper::Helper: Resource cached locally   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=729079d6049f e
[2026/07/19 04:53:24:013   00   17844   04255             ] WebServiceHelper::Helper: Connection request to backend succeeded   {WebServiceHelper.exe::Helper.dll(1.2.3)} | caller=TomcatAccessFi
[2026/07/19 04:53:29:277   00   17844   18837             ] WebServiceHelper::Helper: Resource cached locally   {WebServiceHelper.exe::Helper.dll(1.2.3)} | cpu_util=84% extra='d'
[2026/07/19 04:53:29:707   00   17844   02674             ] WebServiceHelper::Helper: Processing request from client   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=816c71fef8e6 e
[2026/07/19 04:53:32:627   00   17844   11669             ] WebServiceHelper::Helper: Resource cached locally   {WebServiceHelper.exe::Helper.dll(1.2.3)} | ip=192.168.2.115 endp
[2026/07/19 04:56:45:627   00   17844   07023             ] WebServiceHelper::Helper: Resource cached locally   {WebServiceHelper.exe::Helper.dll(1.2.3)} | trace_id=417cc7d28275
[2026/07/19 04:56:45:923   00   17844   13280             ] WebServiceHelper::Helper: Resource cached locally   {WebServiceHelper.exe::Helper.dll(1.2.3)} | trace_id=dba7de07231f
[2026/07/19 04:56:46:293   00   17844   09735             ] WebServiceHelper::Helper: Processing request from client   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=2197a4ca6129 i
[2026/07/19 04:56:49:485   00   17844   19001             ] WebServiceHelper::Helper: Connection request to backend succeeded   {WebServiceHelper.exe::Helper.dll(1.2.3)} | caller=BackupAgent cp
[2026/07/19 05:00:43:485   00   17844   04011             ] WebServiceHelper::Helper: Resource cached locally   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=25ca8ed4b14c i
[2026/07/19 05:04:15:485   00   17844   16505             ] WebServiceHelper::Helper: Processing request from client   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=ba233bd39684 c
[2026/07/19 05:05:27:485   00   17844   13190             ] WebServiceHelper::Helper: Resource cached locally   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=516b187b0426 i
[2026/07/19 05:11:27:485   00   17844   15312             ] WebServiceHelper::Helper: Resource cached locally   {WebServiceHelper.exe::Helper.dll(1.2.3)} | ip=172.16.254.1 calle
[2026/07/19 05:11:41:359   00   17844   11363             ] WebServiceHelper::Helper: Resource cached locally   {WebServiceHelper.exe::Helper.dll(1.2.3)} | endpoint=/metrics cal
[2026/07/19 05:11:56:507   00   17844   15684             ] WebServiceHelper::Helper: Connection request to backend succeeded   {WebServiceHelper.exe::Helper.dll(1.2.3)} | cpu_util=24% mem_util
[2026/07/19 05:12:01:116   00   17844   16361             ] WebServiceHelper::Helper: Processing request from client   {WebServiceHelper.exe::Helper.dll(1.2.3)} | ip=192.168.2.115 mem_
[2026/07/19 05:12:16:785   00   17844   16157             ] WebServiceHelper::Helper: Resource cached locally   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=86bcaa9a762c c
[2026/07/19 05:12:21:856   00   17844   17157             ] WebServiceHelper::Helper: Connection request to backend succeeded   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=989ae3caa971 c
[2026/07/19 05:12:24:911   00   17844   16158             ] WebServiceHelper::Helper: Connection request to backend succeeded   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=aeca1ab2a953 i
[2026/07/19 05:12:27:008   00   17844   05113             ] WebServiceHelper::Helper: Connection request to backend succeeded   {WebServiceHelper.exe::Helper.dll(1.2.3)} | ip=172.16.254.1 endpo
[2026/07/19 05:12:27:328   00   17844   05113             ] WebServiceHelper::Helper: Connection request to backend succeeded   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=49d0f522c169 i
[2026/07/19 05:12:39:184   00   17844   19476             ] WebServiceHelper::Helper: Processing request from client   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=c8dbbbe5ff88 i
[2026/07/19 05:15:45:184   00   17844   06553             ] WebServiceHelper::Helper: Resource cached locally   {WebServiceHelper.exe::Helper.dll(1.2.3)} | endpoint=/api/v1/auth
[2026/07/19 05:15:50:520   00   17844   12393             ] WebServiceHelper::Helper: Resource cached locally   {WebServiceHelper.exe::Helper.dll(1.2.3)} | ip=192.168.1.50 endpo
[2026/07/19 05:15:52:206   00   17844   02244             ] WebServiceHelper::Helper: Connection request to backend succeeded   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=021f48b4b097 i
[2026/07/19 05:16:02:824   00   17844   17721             ] WebServiceHelper::Helper: Resource cached locally   {WebServiceHelper.exe::Helper.dll(1.2.3)} | endpoint=/metrics mem
[2026/07/19 05:16:07:797   00   17844   10562             ] WebServiceHelper::Helper: Connection request to backend succeeded   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=28f9150fa53c e
[2026/07/19 05:16:10:386   00   17844   10976             ] WebServiceHelper::Helper: Processing request from client   {WebServiceHelper.exe::Helper.dll(1.2.3)} | mem_util=54% extra='d'
[2026/07/19 05:16:15:390   00   17844   08002             ] WebServiceHelper::Helper: Connection request to backend succeeded   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=a40452d6a494 c
[2026/07/19 05:16:16:445   00   17844   14488             ] WebServiceHelper::Helper: Resource cached locally   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=fd374ba734a2 c
[2026/07/19 05:16:31:352   00   17844   02095             ] WebServiceHelper::Helper: Resource cached locally   {WebServiceHelper.exe::Helper.dll(1.2.3)} | mem_util=85% extra='t'
[2026/07/19 05:16:34:359   00   17844   09195             ] WebServiceHelper::Helper: Resource cached locally   {WebServiceHelper.exe::Helper.dll(1.2.3)} | cpu_util=82% extra='3'
[2026/07/19 05:20:05:359   00   17844   11738             ] WebServiceHelper::Helper: Resource cached locally   {WebServiceHelper.exe::Helper.dll(1.2.3)} | trace_id=8d0ea519076e
[2026/07/19 05:20:05:855   00   17844   02688             ] WebServiceHelper::Helper: Processing request from client   {WebServiceHelper.exe::Helper.dll(1.2.3)} | caller=ConfigManager 
[2026/07/19 05:20:05:991   00   17844   19756             ] WebServiceHelper::Helper: Processing request from client   {WebServiceHelper.exe::Helper.dll(1.2.3)} | ip=10.0.0.12 cpu_util
[2026/07/19 05:23:40:991   00   17844   01330             ] WebServiceHelper::Helper: Connection request to backend succeeded   {WebServiceHelper.exe::Helper.dll(1.2.3)} | ip=192.168.2.115 call
[2026/07/19 05:23:55:723   00   17844   05127             ] WebServiceHelper::Helper: Processing request from client   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=e15075e41848 m
[2026/07/19 05:23:55:956   00   17844   02417             ] WebServiceHelper::Helper: Connection request to backend succeeded   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=4a6b80fc4088 c
[2026/07/19 05:24:08:052   00   17844   17410             ] WebServiceHelper::Helper: Resource cached locally   {WebServiceHelper.exe::Helper.dll(1.2.3)} | ip=172.16.254.1 calle
[2026/07/19 05:32:08:052   00   17844   18549             ] WebServiceHelper::Helper: Resource cached locally   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=8b4bb1fc5ede e
[2026/07/19 05:32:09:714   00   17844   03163             ] WebServiceHelper::Helper: Processing request from client   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=afbe93cda069 i
[2026/07/19 05:32:23:685   00   17844   14020             ] WebServiceHelper::Helper: Resource cached locally   {WebServiceHelper.exe::Helper.dll(1.2.3)} | cpu_util=13% extra='s'
[2026/07/19 05:32:23:996   00   17844   08059             ] WebServiceHelper::Helper: Connection request to backend succeeded   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=424ea7e2af27 i
[2026/07/19 05:32:39:892   00   17844   02198             ] WebServiceHelper::Helper: Processing request from client   {WebServiceHelper.exe::Helper.dll(1.2.3)} | caller=DbConnector cp
[2026/07/19 05:33:39:892   00   17844   08719             ] WebServiceHelper::Helper: Resource cached locally   {WebServiceHelper.exe::Helper.dll(1.2.3)} | ip=10.0.0.12 endpoint
[2026/07/19 05:33:40:104   00   17844   17920             ] WebServiceHelper::Helper: Resource cached locally   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=dbdbf6257247 i
[2026/07/19 05:33:40:355   00   17844   03227             ] WebServiceHelper::Helper: Resource cached locally   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=b9a3980554da i
[2026/07/19 05:36:08:355   00   17844   18270             ] WebServiceHelper::Helper: Connection request to backend succeeded   {WebServiceHelper.exe::Helper.dll(1.2.3)} | ip=192.168.1.50 cpu_u
[2026/07/19 05:36:23:007   00   17844   04347             ] WebServiceHelper::Helper: Processing request from client   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=fb44cde976ed m
[2026/07/19 05:36:23:317   00   17844   10878             ] WebServiceHelper::Helper: Processing request from client   {WebServiceHelper.exe::Helper.dll(1.2.3)} | caller=WebServiceHelp
[2026/07/19 05:36:23:777   00   17844   10431             ] WebServiceHelper::Helper: Processing request from client   {WebServiceHelper.exe::Helper.dll(1.2.3)} | caller=TomcatAccessFi
[2026/07/19 05:36:24:266   00   17844   07886             ] WebServiceHelper::Helper: Connection request to backend succeeded   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=5f974e8932bb e
[2026/07/19 05:37:44:266   00   17844   15321             ] WebServiceHelper::Helper: Resource cached locally   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=bfbdddd64fe8 i
[2026/07/19 05:37:47:163   00   17844   08456             ] WebServiceHelper::Helper: Resource cached locally   {WebServiceHelper.exe::Helper.dll(1.2.3)} | ip=192.168.2.115 cpu_
[2026/07/19 05:37:47:335   00   17844   15459             ] WebServiceHelper::Helper: Resource cached locally   {WebServiceHelper.exe::Helper.dll(1.2.3)} | ip=192.168.1.50 mem_u
[2026/07/19 05:37:49:789   00   17844   01728             ] WebServiceHelper::Helper: Resource cached locally   {WebServiceHelper.exe::Helper.dll(1.2.3)} | caller=ConfigManager 
[2026/07/19 05:37:50:008   00   17844   06003             ] WebServiceHelper::Helper: Connection request to backend succeeded   {WebServiceHelper.exe::Helper.dll(1.2.3)} | cpu_util=40% extra='u'
[2026/07/19 05:37:51:154   00   17844   16916             ] WebServiceHelper::Helper: Processing request from client   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=f52ed537ac0d i
[2026/07/19 05:41:45:154   00   17844   13273             ] WebServiceHelper::Helper: Connection request to backend succeeded   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=e0386eb2b0f2 c
[2026/07/19 05:41:45:618   00   17844   15253             ] WebServiceHelper::Helper: Resource cached locally   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=3e5f468c8b5c e
[2026/07/19 05:41:47:894   00   17844   12006             ] WebServiceHelper::Helper: Connection request to backend succeeded   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=dee8f471e0fa i
[2026/07/19 05:41:51:568   00   17844   05847             ] WebServiceHelper::Helper: Connection request to backend succeeded   {WebServiceHelper.exe::Helper.dll(1.2.3)} | ip=10.0.0.12 extra='d'
[2026/07/19 05:41:52:740   00   17844   02012             ] WebServiceHelper::Helper: Processing request from client   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=118524a95c32 i
[2026/07/19 05:41:58:321   00   17844   07025             ] WebServiceHelper::Helper: Resource cached locally   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=09a788979934 m
[2026/07/19 05:42:03:425   00   17844   12725             ] WebServiceHelper::Helper: Processing request from client   {WebServiceHelper.exe::Helper.dll(1.2.3)} | endpoint=/metrics cpu
[2026/07/19 05:42:03:702   00   17844   01793             ] WebServiceHelper::Helper: Connection request to backend succeeded   {WebServiceHelper.exe::Helper.dll(1.2.3)} | ip=172.16.254.1 cpu_u
[2026/07/19 05:42:07:495   00   17844   02856             ] WebServiceHelper::Helper: Connection request to backend succeeded   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=ff2ab5b599bb i
[2026/07/19 05:42:11:379   00   17844   05616             ] WebServiceHelper::Helper: Connection request to backend succeeded   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=b61662d7b623 i
[2026/07/19 05:42:11:503   00   17844   19775             ] WebServiceHelper::Helper: Resource cached locally   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=8d93ad96819d i
[2026/07/19 05:42:17:307   00   17844   01165             ] WebServiceHelper::Helper: Resource cached locally   {WebServiceHelper.exe::Helper.dll(1.2.3)} | endpoint=/api/v1/auth
[2026/07/19 05:42:19:413   00   17844   02519             ] WebServiceHelper::Helper: Resource cached locally   {WebServiceHelper.exe::Helper.dll(1.2.3)} | endpoint=/api/v2/rest
[2026/07/19 05:42:19:549   00   17844   07321             ] WebServiceHelper::Helper: Processing request from client   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=b5847c9e77e1 m
[2026/07/19 05:42:19:707   00   17844   19973             ] WebServiceHelper::Helper: Connection request to backend succeeded   {WebServiceHelper.exe::Helper.dll(1.2.3)} | ip=172.16.254.1 cpu_u
[2026/07/19 05:44:38:707   00   17844   06280             ] WebServiceHelper::Helper: Processing request from client   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=e7769764af5d e
[2026/07/19 05:44:39:115   00   17844   17548             ] WebServiceHelper::Helper: Processing request from client   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=b27009fc3cda i
[2026/07/19 05:44:52:189   00   17844   03038             ] WebServiceHelper::Helper: Resource cached locally   {WebServiceHelper.exe::Helper.dll(1.2.3)} | caller=DbConnector   
